x           y           z           G           L           T
-0.009900 0.000000 0.000000 433874.434385 675929.382886 1313.930000
-0.009700 0.000000 0.000000 442939.893973 734187.129972 1341.370000
-0.009500 0.000000 0.000000 452379.948217 794829.977336 1368.250000
-0.009300 0.000000 0.000000 462181.654121 857775.593073 1394.570000
-0.009100 0.000000 0.000000 472330.469069 922931.464298 1420.330000
-0.008900 0.000000 0.000000 482810.309699 990195.271800 1445.530000
-0.008700 0.000000 0.000000 493603.615809 1059455.296792 1470.170000
-0.008500 0.000000 0.000000 504691.418906 1130590.857186 1494.250000
-0.008300 0.000000 0.000000 516053.414993 1203472.770849 1517.770000
-0.008100 0.000000 0.000000 527668.041214 1277963.843373 1540.730000
-0.007900 0.000000 0.000000 539512.555965 1353919.377951 1563.130000
-0.007700 0.000000 0.000000 551563.122108 1431187.704978 1584.970000
-0.007500 0.000000 0.000000 563794.892927 1509610.729096 1606.250000
-0.007300 0.000000 0.000000 576182.100472 1589024.491415 1626.970000
-0.007100 0.000000 0.000000 588698.145934 1669259.744732 1647.130000
-0.006900 0.000000 0.000000 601315.691743 1750142.539606 1666.730000
-0.006700 0.000000 0.000000 614006.755028 1831494.819205 1685.770000
-0.006500 0.000000 0.000000 626742.802155 1913135.020920 1704.250000
-0.006300 0.000000 0.000000 639494.844004 1994878.682748 1722.170000
-0.006100 0.000000 0.000000 652233.531708 2076539.052567 1739.530000
-0.005900 0.000000 0.000000 664929.252545 2157927.698425 1756.330000
-0.005700 0.000000 0.000000 677552.225715 2238855.118050 1772.570000
-0.005500 0.000000 0.000000 690072.597719 2319131.345845 1788.250000
-0.005300 0.000000 0.000000 702460.537072 2398566.555674 1803.370000
-0.005100 0.000000 0.000000 714686.328109 2476971.657815 1817.930000
-0.004900 0.000000 0.000000 726720.463623 2554158.888504 1831.930000
-0.004700 0.000000 0.000000 738533.736094 2629942.390545 1845.370000
-0.004500 0.000000 0.000000 750097.327296 2704138.783544 1858.250000
-0.004300 0.000000 0.000000 761382.896049 2776567.722340 1870.570000
-0.004100 0.000000 0.000000 772362.663896 2847052.442299 1882.330000
-0.003900 0.000000 0.000000 783009.498530 2915420.290169 1893.530000
