x           y           z           G           L           A           T
-0.009900 0.000000 0.000000 439091.769388 675929.382886 439904.265050 1313.930000
-0.009700 0.000000 0.000000 439384.290308 734187.129972 440168.648309 1341.370000
-0.009500 0.000000 0.000000 439689.754709 794829.977336 440450.893648 1368.250000
-0.009300 0.000000 0.000000 440007.319156 857775.593073 440749.282764 1394.570000
-0.009100 0.000000 0.000000 440336.100789 922931.464298 441062.211226 1420.330000
-0.008900 0.000000 0.000000 440675.178327 990195.271800 441388.162756 1445.530000
-0.008700 0.000000 0.000000 441023.593304 1059455.296792 441725.687964 1470.170000
-0.008500 0.000000 0.000000 441380.351502 1130590.857186 442073.387951 1494.250000
-0.008300 0.000000 0.000000 441744.424583 1203472.770849 442429.900820 1517.770000
-0.008100 0.000000 0.000000 442114.751902 1277963.843373 442793.891197 1540.730000
-0.007900 0.000000 0.000000 442490.242485 1353919.377951 443164.042001 1563.130000
-0.007700 0.000000 0.000000 442869.777169 1431187.704978 443539.048201 1584.970000
-0.007500 0.000000 0.000000 443252.210882 1509610.729096 443917.612136 1606.250000
-0.007300 0.000000 0.000000 443636.375053 1589024.491415 444298.440240 1626.970000
-0.007100 0.000000 0.000000 444021.080138 1669259.744732 444680.240671 1647.130000
-0.006900 0.000000 0.000000 444405.118255 1750142.539606 445061.722171 1666.730000
-0.006700 0.000000 0.000000 444787.265908 1831494.819205 445441.593558 1685.770000
-0.006500 0.000000 0.000000 445166.286791 1913135.020920 445818.563565 1704.250000
-0.006300 0.000000 0.000000 445540.934656 1994878.682748 446191.341689 1722.170000
-0.006100 0.000000 0.000000 445909.956245 2076539.052567 446558.639223 1739.530000
-0.005900 0.000000 0.000000 446272.094253 2157927.698425 446919.170448 1756.330000
-0.005700 0.000000 0.000000 446626.090327 2238855.118050 447271.654485 1772.570000
-0.005500 0.000000 0.000000 446970.688085 2319131.345845 447614.817103 1788.250000
-0.005300 0.000000 0.000000 447304.636139 2398566.555674 447947.392783 1803.370000
-0.005100 0.000000 0.000000 447626.691119 2476971.657815 448268.126981 1817.930000
-0.004900 0.000000 0.000000 447935.620669 2554158.888504 448575.778168 1831.930000
-0.004700 0.000000 0.000000 448230.206434 2629942.390545 448869.120512 1845.370000
-0.004500 0.000000 0.000000 448509.246995 2704138.783544 449146.945858 1858.250000
-0.004300 0.000000 0.000000 448771.560767 2776567.722340 449408.066421 1870.570000
-0.004100 0.000000 0.000000 449015.988829 2847052.442299 449651.316770 1882.330000
-0.003900 0.000000 0.000000 449241.397700 2915420.290169 449875.556250 1893.530000
-0.003700 0.000000 0.000000 449446.682022 2981503.239269 450079.671110 1904.170000
-0.003500 0.000000 0.000000 449630.767173 3045138.387823 450262.576486 1914.250000
-0.003300 0.000000 0.000000 449792.611770 3106168.439319 450423.218282 1923.770000
-0.003100 0.000000 0.000000 449931.210080 3164442.163826 450560.574979 1932.730000
-0.002900 0.000000 0.000000 450045.594313 3219814.839251 450673.659025 1941.130000
-0.002700 0.000000 0.000000 450134.836795 3272148.671596 450761.518146 1948.970000
-0.002500 0.000000 0.000000 450198.052015 3321313.193291 450823.236375 1956.250000
-0.002300 0.000000 0.000000 450234.398538 3367185.638787 450857.934636 1962.970000
-0.002100 0.000000 0.000000 450243.080773 3409651.296598 450864.771123 1969.130000
-0.001900 0.000000 0.000000 450223.350597 3448603.837084 450842.941087 1974.730000
-0.001700 0.000000 0.000000 450174.508817 3483945.615280 450791.676257 1979.770000
