x           y           z           G           L           T
-0.009933 0.000000 0.000000 439132.407348 666456.842222 439281.234889 1309.302222
-0.009800 0.000000 0.000000 439313.989755 704755.380388 439453.927624 1327.720000
-0.009667 0.000000 0.000000 439502.571354 744130.734211 439636.526889 1345.888889
-0.009533 0.000000 0.000000 439697.810086 784560.570236 439827.693083 1363.808889
-0.009400 0.000000 0.000000 439899.364875 826020.486823 440026.473302 1381.480000
-0.009267 0.000000 0.000000 440106.894973 868484.058952 440232.136603 1398.902222
-0.009133 0.000000 0.000000 440320.059392 911922.886107 440444.083406 1416.075556
-0.009000 0.000000 0.000000 440538.516408 956306.643111 440661.794486 1433.000000
-0.008867 0.000000 0.000000 440761.923143 1001603.133718 440884.801385 1449.675556
-0.008733 0.000000 0.000000 440989.935203 1047778.346856 441112.668669 1466.102222
-0.008600 0.000000 0.000000 441222.206394 1094796.515330 441344.982887 1482.280000
-0.008467 0.000000 0.000000 441458.388482 1142620.176867 441581.345427 1498.208889
-0.008333 0.000000 0.000000 441698.131011 1191210.237348 441821.367739 1513.888889
-0.008200 0.000000 0.000000 441941.081176 1240526.036082 442064.668036 1529.320000
-0.008067 0.000000 0.000000 442186.883734 1290525.412982 442310.868956 1544.502222
-0.007933 0.000000 0.000000 442435.180961 1341164.777518 442559.595896 1559.435556
-0.007800 0.000000 0.000000 442685.612654 1392399.179284 442810.475788 1574.120000
-0.007667 0.000000 0.000000 442937.816158 1444182.380079 443063.136230 1588.555556
-0.007533 0.000000 0.000000 443191.426438 1496466.927337 443317.204852 1602.742222
-0.007400 0.000000 0.000000 443446.076175 1549204.228806 443572.308882 1616.680000
-0.007267 0.000000 0.000000 443701.395899 1602344.628325 443828.074859 1630.368889
-0.007133 0.000000 0.000000 443957.014136 1655837.482590 444084.128462 1643.808889
-0.007000 0.000000 0.000000 444212.557589 1709631.238781 444340.094434 1657.000000
-0.006867 0.000000 0.000000 444467.651341 1763673.512926 444595.596583 1669.942222
-0.006733 0.000000 0.000000 444721.919072 1817911.168886 444850.257847 1682.635556
-0.006600 0.000000 0.000000 444974.983300 1872290.397849 445103.700403 1695.080000
-0.006467 0.000000 0.000000 445226.465634 1926756.798214 445355.545833 1707.275556
-0.006333 0.000000 0.000000 445475.987046 1981255.455751 445605.415308 1719.222222
-0.006200 0.000000 0.000000 445723.168157 2035731.023936 445852.929817 1730.920000
-0.006067 0.000000 0.000000 445967.629525 2090127.804344 446097.710412 1742.368889
-0.005933 0.000000 0.000000 446208.991955 2144389.827002 446339.378477 1753.568889
-0.005800 0.000000 0.000000 446446.876813 2198460.930596 446577.556013 1764.520000
-0.005667 0.000000 0.000000 446680.906346 2252284.842426 446811.865938 1775.222222
-0.005533 0.000000 0.000000 446910.704008 2305805.258024 447041.932399 1785.675556
-0.005400 0.000000 0.000000 447135.894793 2358965.920321 447267.381090 1795.880000
-0.005267 0.000000 0.000000 447356.105573 2411710.698285 447487.839585 1805.835556
-0.005133 0.000000 0.000000 447570.965432 2463983.664927 447702.937663 1815.542222
-0.005000 0.000000 0.000000 447780.106009 2515729.174587 447912.307651 1825.000000
-0.004867 0.000000 0.000000 447983.161831 2566891.939420 448115.584760 1834.208889
-0.004733 0.000000 0.000000 448179.770662 2617417.104980 448312.407421 1843.168889
-0.004600 0.000000 0.000000 448369.573827 2667250.324843 448502.417627 1851.880000
-0.004467 0.000000 0.000000 448552.216556 2716337.834159 448685.261263 1860.342222
-0.004333 0.000000 0.000000 448727.348307 2764626.522083 448860.588442 1868.555556
-0.004200 0.000000 0.000000 448894.623090 2812064.002980 449028.053829 1876.520000
-0.004067 0.000000 0.000000 449053.699789 2858598.686358 449187.316964 1884.235556
-0.003933 0.000000 0.000000 449204.242471 2904179.845432 449338.042571 1891.702222
-0.003800 0.000000 0.000000 449345.920690 2948757.684261 449479.900868 1898.920000
-0.003667 0.000000 0.000000 449478.409778 2992283.403392 449612.567856 1905.888889
-0.003533 0.000000 0.000000 449601.391134 3034709.263938 449735.725607 1912.608889
-0.003400 0.000000 0.000000 449714.552496 3075988.650031 449849.062535 1919.080000
-0.003267 0.000000 0.000000 449817.588200 3116076.129584 449952.273651 1925.302222
-0.003133 0.000000 0.000000 449910.199435 3154927.513315 450045.060808 1931.275556
-0.003000 0.000000 0.000000 449992.094473 3192499.911953 450127.132925 1937.000000
-0.002867 0.000000 0.000000 450062.988891 3228751.791600 450198.206192 1942.475556
-0.002733 0.000000 0.000000 450122.605778 3263643.027171 450258.004258 1947.702222
-0.002600 0.000000 0.000000 450170.675923 3297134.953880 450306.258391 1952.680000
-0.002467 0.000000 0.000000 450206.937983 3329190.416707 450342.707614 1957.408889
-0.002333 0.000000 0.000000 450231.138638 3359773.817817 450367.098816 1961.888889
