x           y           z           G           L           A           T
-0.010490 0.000000 0.000000 418872.919921 650556.459219 443159.033391 1301.422005
-0.010469 0.000000 0.000000 418887.470111 656161.770942 443185.220434 1304.216314
-0.010448 0.000000 0.000000 418902.122510 661791.885388 443211.624550 1307.005023
-0.010427 0.000000 0.000000 418916.876491 667446.739345 443238.243540 1309.788133
-0.010406 0.000000 0.000000 418931.731428 673126.268508 443265.075315 1312.565642
-0.010385 0.000000 0.000000 418946.686693 678830.407486 443292.117538 1315.337552
-0.010364 0.000000 0.000000 418961.741656 684559.089804 443319.368169 1318.103862
-0.010343 0.000000 0.000000 418976.895684 690312.247906 443346.825099 1320.864573
-0.010322 0.000000 0.000000 418992.148145 696089.813156 443374.486322 1323.619683
-0.010301 0.000000 0.000000 419007.498403 701891.715843 443402.349588 1326.369194
-0.010280 0.000000 0.000000 419022.945822 707717.885184 443430.412945 1329.113105
-0.010259 0.000000 0.000000 419038.489765 713568.249325 443458.674372 1331.851416
-0.010238 0.000000 0.000000 419054.129590 719442.735345 443487.131926 1334.584127
-0.010216 0.000000 0.000000 419069.864656 725341.269261 443515.783443 1337.311238
-0.010196 0.000000 0.000000 419085.694321 731263.776029 443544.627053 1340.032750
-0.010175 0.000000 0.000000 419101.617939 737210.179546 443573.660813 1342.748661
-0.010154 0.000000 0.000000 419117.634864 743180.402656 443602.882828 1345.458973
-0.010133 0.000000 0.000000 419133.744448 749174.367153 443632.291027 1348.163685
-0.010112 0.000000 0.000000 419149.946041 755191.993782 443661.883601 1350.862798
-0.010091 0.000000 0.000000 419166.238992 761233.202243 443691.658697 1353.556310
-0.010070 0.000000 0.000000 419182.622647 767297.911197 443721.614433 1356.244223
-0.010049 0.000000 0.000000 419199.096353 773386.038264 443751.748850 1358.926536
-0.010028 0.000000 0.000000 419215.659451 779497.500033 443782.060181 1361.603249
-0.010007 0.000000 0.000000 419232.311284 785632.212060 443812.546666 1364.274362
-0.009986 0.000000 0.000000 419249.051193 791790.088875 443843.206406 1366.939875
-0.009965 0.000000 0.000000 419265.878516 797971.043982 443874.037578 1369.599789
-0.009944 0.000000 0.000000 419282.792590 804174.989868 443905.038437 1372.254102
-0.009923 0.000000 0.000000 419299.792749 810401.837999 443936.207304 1374.902816
-0.009902 0.000000 0.000000 419316.878328 816651.498832 443967.542270 1377.545930
-0.009881 0.000000 0.000000 419334.048658 822923.881811 443999.041634 1380.183445
-0.009860 0.000000 0.000000 419351.303070 829218.895377 444030.703679 1382.815359
