x           y           z           G           L           T
0.000050 0.000000 0.000000 17582.539633 2087.234833 309.734602
0.000150 0.000000 0.000000 17691.892207 2629.843620 328.155266
0.000250 0.000000 0.000000 17801.562308 3240.635518 345.743834
0.000350 0.000000 0.000000 17911.871350 3920.809953 362.610892
0.000450 0.000000 0.000000 18023.082424 4671.647631 378.847492
0.000550 0.000000 0.000000 18135.416385 5494.542756 394.529777
0.000650 0.000000 0.000000 18249.062719 6391.026059 409.722246
0.000750 0.000000 0.000000 18364.187072 7362.781758 424.480143
0.000850 0.000000 0.000000 18480.936560 8411.660621 438.851243
0.000950 0.000000 0.000000 18599.443580 9539.690642 452.877214
0.001050 0.000000 0.000000 18719.828573 10749.086352 466.594683
0.001150 0.000000 0.000000 18842.202049 12042.257497 480.036073
0.001250 0.000000 0.000000 18966.666071 13421.817588 493.230280
0.001350 0.000000 0.000000 19093.315340 14890.592671 506.203208
0.001450 0.000000 0.000000 19222.237985 16451.630590 518.978223
0.001550 0.000000 0.000000 19353.516123 18108.210936 531.576512
0.001650 0.000000 0.000000 19487.226240 19863.855825 544.017394
0.001750 0.000000 0.000000 19623.439444 21722.341644 556.318570
0.001850 0.000000 0.000000 19762.221598 23687.711869 568.496343
0.001950 0.000000 0.000000 19903.633372 25764.291044 580.565797
0.002050 0.000000 0.000000 20047.730225 27956.700043 592.540956
0.002150 0.000000 0.000000 20194.562332 30269.872685 604.434919
0.002250 0.000000 0.000000 20344.174471 32709.073826 616.259971
0.002350 0.000000 0.000000 20496.605868 35279.919025 628.027690
0.002450 0.000000 0.000000 20651.890033 37988.395904 639.749030
0.002550 0.000000 0.000000 20810.054568 40840.887332 651.434402
0.002650 0.000000 0.000000 20971.120977 43844.196566 663.093737
0.002750 0.000000 0.000000 21135.104471 47005.574507 674.736554
0.002850 0.000000 0.000000 21302.013791 50332.749233 686.372003
0.002950 0.000000 0.000000 21471.851041 53833.958002 698.008924
0.003050 0.000000 0.000000 21644.611559 57517.981922 709.655883
0.003150 0.000000 0.000000 21820.283812 61394.183512 721.321213
0.003250 0.000000 0.000000 21998.849350 65472.547415 733.013051
0.003350 0.000000 0.000000 22180.282814 69763.724521 744.739368
0.003450 0.000000 0.000000 22364.557578 74279.079824 756.508002
0.003550 0.000000 0.000000 22551.619733 79030.744338 768.326682
0.003650 0.000000 0.000000 22741.399524 84031.671461 780.203057
0.003750 0.000000 0.000000 22933.837583 89295.698211 792.144720
0.003850 0.000000 0.000000 23128.867027 94837.611810 804.159227
0.003950 0.000000 0.000000 23326.413828 100673.222141 816.254126
0.004050 0.000000 0.000000 23526.397308 106819.440703 828.436971
0.004150 0.000000 0.000000 23728.730793 113294.366735 840.715349
0.004250 0.000000 0.000000 23933.322419 120117.381292 853.096895
0.004350 0.000000 0.000000 24140.076136 127309.250143 865.589316
0.004450 0.000000 0.000000 24348.892893 134892.236516 878.200411
0.004550 0.000000 0.000000 24559.672050 142890.224822 890.938091
0.004650 0.000000 0.000000 24772.313007 151328.856696 903.810401
0.004750 0.000000 0.000000 24986.717092 160235.680884 916.825544
0.004850 0.000000 0.000000 25202.789694 169640.318774 929.991903
0.004950 0.000000 0.000000 25420.442680 179574.647641 943.318068
0.005050 0.000000 0.000000 25639.597096 190073.004054 956.812867
0.005150 0.000000 0.000000 25860.186172 201172.410351 970.485391
0.005250 0.000000 0.000000 26082.158636 212912.827564 984.345033
0.005350 0.000000 0.000000 26305.482361 225337.438893 998.401525
0.005450 0.000000 0.000000 26530.167417 238496.059003 1012.668262
0.005550 0.000000 0.000000 26756.270333 252445.593254 1027.161767
0.005650 0.000000 0.000000 26983.854384 267243.349097 1041.894208
0.005750 0.000000 0.000000 27213.021713 282951.709511 1056.878292
0.005850 0.000000 0.000000 27443.918961 299638.661887 1072.127312
0.005950 0.000000 0.000000 27676.743313 317378.389289 1087.655187
0.006050 0.000000 0.000000 27911.748968 336251.933153 1103.476515
