x           y           z           G           L           T
0.005000 0.000000 0.000000 2684922.665564 2684012.093313 1854.782605
0.015000 0.000000 0.000000 2667935.348555 2668547.411823 1852.105102
0.025000 0.000000 0.000000 2650638.432634 2650747.961344 1849.008920
0.035000 0.000000 0.000000 2633458.217411 2633337.041209 1845.965199
0.045000 0.000000 0.000000 2616386.910743 2616274.081422 1842.967628
0.055000 0.000000 0.000000 2599389.441236 2599345.338565 1839.979112
0.065000 0.000000 0.000000 2582448.985838 2582453.271549 1836.982484
0.075000 0.000000 0.000000 2565561.880799 2565583.879021 1833.975171
0.085000 0.000000 0.000000 2548728.926573 2548751.297544 1830.959602
0.095000 0.000000 0.000000 2531950.806890 2531968.676875 1827.938076
0.105000 0.000000 0.000000 2515226.982036 2515241.177894 1824.911491
0.115000 0.000000 0.000000 2498556.060276 2498568.362197 1821.879740
0.125000 0.000000 0.000000 2481936.362449 2481947.796548 1818.842350
0.135000 0.000000 0.000000 2465366.240766 2465377.086364 1815.798847
0.145000 0.000000 0.000000 2448844.160566 2448854.399465 1812.748850
0.155000 0.000000 0.000000 2432368.671432 2432378.286571 1809.692042
0.165000 0.000000 0.000000 2415938.363001 2415947.405134 1806.628122
0.175000 0.000000 0.000000 2399551.842494 2399560.381646 1803.556774
0.185000 0.000000 0.000000 2383207.733418 2383215.808496 1800.477672
0.195000 0.000000 0.000000 2366904.682685 2366912.294152 1797.390486
0.205000 0.000000 0.000000 2350641.365988 2350648.502140 1794.294891
0.215000 0.000000 0.000000 2334416.487937 2334423.156664 1791.190565
0.225000 0.000000 0.000000 2318228.778308 2318235.023443 1788.077190
0.235000 0.000000 0.000000 2302076.987338 2302082.884453 1784.954443
0.245000 0.000000 0.000000 2285959.882308 2285965.520787 1781.821997
0.255000 0.000000 0.000000 2269876.246187 2269881.708508 1778.679516
0.265000 0.000000 0.000000 2253824.877915 2253830.224754 1775.526657
0.275000 0.000000 0.000000 2237804.593373 2237809.858140 1772.363073
0.285000 0.000000 0.000000 2221814.226190 2221819.418020 1769.188415
0.295000 0.000000 0.000000 2205852.627903 2205857.739587 1766.002330
0.305000 0.000000 0.000000 2189918.667408 2189923.684361 1762.804467
0.315000 0.000000 0.000000 2174011.229875 2174016.137325 1759.594469
0.325000 0.000000 0.000000 2158129.215449 2158134.002566 1756.371976
0.335000 0.000000 0.000000 2142271.537967 2142276.199039 1753.136626
0.345000 0.000000 0.000000 2126437.123851 2126441.657389 1749.888049
0.355000 0.000000 0.000000 2110624.911219 2110629.318106 1746.625872
0.365000 0.000000 0.000000 2094833.849181 2094838.130783 1743.349714
0.375000 0.000000 0.000000 2079062.897243 2079067.054053 1740.059189
0.385000 0.000000 0.000000 2063311.024755 2063315.055730 1736.753905
0.395000 0.000000 0.000000 2047577.210355 2047581.112881 1733.433462
0.405000 0.000000 0.000000 2031860.441370 2031864.211636 1730.097456
0.415000 0.000000 0.000000 2016159.713194 2016163.346732 1726.745473
0.425000 0.000000 0.000000 2000474.028624 2000477.520859 1723.377093
0.435000 0.000000 0.000000 1984802.397193 1984805.743873 1719.991890
0.445000 0.000000 0.000000 1969143.834493 1969147.031989 1716.589428
0.455000 0.000000 0.000000 1953497.361510 1953500.406978 1713.169263
0.465000 0.000000 0.000000 1937862.003963 1937864.895413 1709.730941
0.475000 0.000000 0.000000 1922236.791662 1922239.527960 1706.274000
0.485000 0.000000 0.000000 1906620.757862 1906623.338706 1702.797969
0.495000 0.000000 0.000000 1891012.938635 1891015.364511 1699.302364
0.505000 0.000000 0.000000 1875412.372238 1875414.644372 1695.786693
0.515000 0.000000 0.000000 1859818.098486 1859820.218793 1692.250451
0.525000 0.000000 0.000000 1844229.158123 1844231.129152 1688.693121
0.535000 0.000000 0.000000 1828644.592201 1828646.417075 1685.114176
0.545000 0.000000 0.000000 1813063.441451 1813065.123803 1681.513073
