x           y           z           G           L           A           T
0.515000 0.000000 0.000000 1908880.176554 1904142.248552 0.000000 1702.243735
0.525000 0.000000 0.000000 1897229.971323 1892398.007969 0.000000 1699.612896
0.535000 0.000000 0.000000 1885586.235190 1885860.080902 0.000000 1698.143019
0.545000 0.000000 0.000000 1873885.622629 1874162.716463 0.000000 1695.503618
0.555000 0.000000 0.000000 1862199.177516 1862479.514360 0.000000 1692.855050
0.565000 0.000000 0.000000 1850522.960617 1850806.534941 0.000000 1690.196326
0.575000 0.000000 0.000000 1838853.031948 1839139.837750 0.000000 1687.526437
0.585000 0.000000 0.000000 1827185.440115 1827475.470861 0.000000 1684.844352
0.595000 0.000000 0.000000 1815516.211346 1815809.459914 0.000000 1682.149016
0.605000 0.000000 0.000000 1803841.338109 1804137.796718 0.000000 1679.439345
0.615000 0.000000 0.000000 1792156.767195 1792456.427340 0.000000 1676.714226
0.625000 0.000000 0.000000 1780458.387157 1780761.239535 0.000000 1673.972506
0.635000 0.000000 0.000000 1768742.014938 1769048.049371 0.000000 1671.212997
0.645000 0.000000 0.000000 1757003.381545 1757312.586898 0.000000 1668.434464
0.655000 0.000000 0.000000 1745238.116579 1745550.480671 0.000000 1665.635623
0.665000 0.000000 0.000000 1733441.731404 1733757.240912 0.000000 1662.815136
0.675000 0.000000 0.000000 1721609.600708 1721928.241070 0.000000 1659.971606
0.685000 0.000000 0.000000 1709736.942174 1710058.697467 0.000000 1657.103565
0.695000 0.000000 0.000000 1697818.793897 1698143.646736 0.000000 1654.209472
0.705000 0.000000 0.000000 1685849.989155 1686177.920547 0.000000 1651.287703
0.715000 0.000000 0.000000 1673825.128030 1674156.117247 0.000000 1648.336539
0.725000 0.000000 0.000000 1661738.545284 1662072.569702 0.000000 1645.354157
0.735000 0.000000 0.000000 1649584.273761 1649921.308700 0.000000 1642.338618
0.745000 0.000000 0.000000 1637356.002423 1637696.020962 0.000000 1639.287853
0.755000 0.000000 0.000000 1625047.027922 1625390.000701 0.000000 1636.199641
0.765000 0.000000 0.000000 1612650.198303 1612996.093299 0.000000 1633.071599
0.775000 0.000000 0.000000 1600157.847137 1600506.629425 0.000000 1629.901151
0.785000 0.000000 0.000000 1587561.715837 1587913.347311 0.000000 1626.685506
0.795000 0.000000 0.000000 1574852.861353 1575207.300433 0.000000 1623.421623
0.805000 0.000000 0.000000 1562021.545538 1562378.746821 0.000000 1620.106177
0.815000 0.000000 0.000000 1549057.101368 1549417.015248 0.000000 1616.735511
0.825000 0.000000 0.000000 1535947.769577 1536310.341803 0.000000 1613.305579
0.835000 0.000000 0.000000 1522680.497025 1523045.668207 0.000000 1609.811882
0.845000 0.000000 0.000000 1509240.684903 1509608.389923 0.000000 1606.249378
0.855000 0.000000 0.000000 1495611.870182 1495982.037526 0.000000 1602.612375
0.865000 0.000000 0.000000 1481775.316700 1482147.867655 0.000000 1598.894397
0.875000 0.000000 0.000000 1467709.481560 1468084.329261 0.000000 1595.088001
0.885000 0.000000 0.000000 1453389.305656 1453766.353927 0.000000 1591.184540
0.895000 0.000000 0.000000 1438785.249735 1439164.391653 0.000000 1587.173846
0.905000 0.000000 0.000000 1423861.951461 1424243.067549 0.000000 1583.043780
0.915000 0.000000 0.000000 1408576.298655 1408959.254542 0.000000 1578.779599
0.925000 0.000000 0.000000 1392874.567435 1393259.210724 0.000000 1574.363012
0.935000 0.000000 0.000000 1376687.991369 1377074.147312 0.000000 1569.770736
0.945000 0.000000 0.000000 1359925.536484 1360313.001708 0.000000 1564.972136
0.955000 0.000000 0.000000 1342461.256087 1342849.788934 0.000000 1559.925136
0.965000 0.000000 0.000000 1324109.645317 1324498.949634 0.000000 1554.568279
0.975000 0.000000 0.000000 1304568.859680 1304958.553583 0.000000 1548.802628
0.985000 0.000000 0.000000 1283257.185909 1283646.727363 0.000000 1542.439991
0.995000 0.000000 0.000000 1258726.421890 1259114.879640 0.000000 1535.017165
1.005000 0.000000 0.000000 0.000000 226784.000000 0.000000 1000.000000
0.495000 0.000000 0.000000 1932339.431454 1927621.639717 0.000000 1707.467105
0.505000 0.000000 0.000000 1920579.769450 1915879.724109 0.000000 1704.860927
0.760000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.510000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
-0.005000 0.000000 0.000000 0.000000 3628544.000000 0.000000 2000.000000
0.005000 0.000000 0.000000 2588680.629461 2588784.754326 0.000000 1838.107397
0.015000 0.000000 0.000000 2563949.725579 2564058.096260 0.000000 1833.702439
0.025000 0.000000 0.000000 2542462.848838 2542574.990647 0.000000 1829.849366
0.035000 0.000000 0.000000 2522761.187314 2522876.858461 0.000000 1826.294918
0.045000 0.000000 0.000000 2504258.749859 2504377.800331 0.000000 1822.937834
0.055000 0.000000 0.000000 2486651.468310 2486773.794647 0.000000 1819.725864
0.065000 0.000000 0.000000 2469752.472784 2469877.999599 0.000000 1816.627033
0.075000 0.000000 0.000000 2453434.893529 2453563.564210 0.000000 1813.619705
0.085000 0.000000 0.000000 2437607.033903 2437738.805245 0.000000 1810.688277
0.095000 0.000000 0.000000 2422199.631732 2422334.470535 0.000000 1807.820990
0.105000 0.000000 0.000000 2407158.580742 2407296.461562 0.000000 1805.008667
0.115000 0.000000 0.000000 2392440.466790 2392581.370354 0.000000 1802.243951
0.125000 0.000000 0.000000 2378009.684681 2378153.596745 0.000000 1799.520806
0.135000 0.000000 0.000000 2363836.497025 2363983.407534 0.000000 1796.834192
0.145000 0.000000 0.000000 2349895.681262 2350045.583701 0.000000 1794.179825
0.155000 0.000000 0.000000 2336165.558512 2336318.449409 0.000000 1791.554016
0.165000 0.000000 0.000000 2322627.278785 2322783.157318 0.000000 1788.953550
0.175000 0.000000 0.000000 2309264.283379 2309423.151062 0.000000 1786.375591
0.185000 0.000000 0.000000 2296061.892915 2296223.753339 0.000000 1783.817616
0.195000 0.000000 0.000000 2283006.986399 2283171.845026 0.000000 1781.277357
0.205000 0.000000 0.000000 2270087.747553 2270255.611549 0.000000 1778.752759
0.215000 0.000000 0.000000 2257293.461691 2257464.339777 0.000000 1776.241947
0.225000 0.000000 0.000000 2244614.351145 2244788.253481 0.000000 1773.743196
0.235000 0.000000 0.000000 2232041.440502 2232218.378594 0.000000 1771.254910
0.245000 0.000000 0.000000 2219566.445180 2219746.431786 0.000000 1768.775601
0.255000 0.000000 0.000000 2207181.678450 2207364.727520 0.000000 1766.303876
0.265000 0.000000 0.000000 2194879.973215 2195066.099825 0.000000 1763.838419
0.275000 0.000000 0.000000 2182654.615681 2182843.835989 0.000000 1761.377985
0.285000 0.000000 0.000000 2170499.288689 2170691.619890 0.000000 1758.921387
0.295000 0.000000 0.000000 2158408.022966 2158603.483262 0.000000 1756.467489
0.305000 0.000000 0.000000 2146375.154899 2146573.763467 0.000000 1754.015195
0.315000 0.000000 0.000000 2134395.289722 2134597.066695 0.000000 1751.563451
0.325000 0.000000 0.000000 2122463.269208 2122668.235657 0.000000 1749.111227
0.335000 0.000000 0.000000 2110574.143146 2110782.321067 0.000000 1746.657525
0.345000 0.000000 0.000000 2098723.143989 2098934.556287 0.000000 1744.201364
0.355000 0.000000 0.000000 2086905.664180 2087120.334673 0.000000 1741.741780
0.365000 0.000000 0.000000 2075117.235748 2075335.189157 0.000000 1739.277824
0.375000 0.000000 0.000000 2063353.511819 2063574.773770 0.000000 1736.808555
0.385000 0.000000 0.000000 2051610.249751 2051834.846778 0.000000 1734.333039
0.395000 0.000000 0.000000 2039883.295646 2040111.255195 0.000000 1731.850344
0.405000 0.000000 0.000000 2028168.570022 2028399.920454 0.000000 1729.359538
0.415000 0.000000 0.000000 2016462.054454 2016696.825064 0.000000 1726.859686
0.425000 0.000000 0.000000 2004759.779039 2004998.000054 0.000000 1724.349848
0.435000 0.000000 0.000000 1993057.810522 1993299.513121 0.000000 1721.829076
0.445000 0.000000 0.000000 1981352.240965 1981597.457294 0.000000 1719.296410
0.455000 0.000000 0.000000 1969639.176847 1969887.940025 0.000000 1716.750876
0.465000 0.000000 0.000000 1957914.728485 1958167.072630 0.000000 1714.191483
0.475000 0.000000 0.000000 1946174.999672 1946430.959908 0.000000 1711.617224
0.485000 0.000000 0.000000 1934416.077458 1934675.689945 0.000000 1709.027067
0.495000 0.000000 0.000000 1922702.151691 1927621.639717 0.000000 1707.467105
0.505000 0.000000 0.000000 1910976.057266 1915879.724109 0.000000 1704.860927
0.515000 0.000000 0.000000 1899198.576133 1904142.248552 0.000000 1702.243735
0.525000 0.000000 0.000000 1887357.968378 1892398.007969 0.000000 1699.612896
