x           y           z           G           L           T
0.805000 0.000000 0.000000 1433034.573426 1433052.321857 1585.485991
0.815000 0.000000 0.000000 1416004.972759 1416014.046634 1580.752173
0.825000 0.000000 0.000000 1398868.956450 1398878.294219 1575.947988
0.835000 0.000000 0.000000 1381616.796840 1381626.381794 1571.066440
0.845000 0.000000 0.000000 1364237.530118 1364247.352461 1566.102479
0.855000 0.000000 0.000000 1346718.665682 1346728.715828 1561.050409
0.865000 0.000000 0.000000 1329045.838941 1329056.102783 1555.903744
0.875000 0.000000 0.000000 1311202.354811 1311212.803658 1550.655031
0.885000 0.000000 0.000000 1293168.541387 1293154.917833 1545.288370
0.895000 0.000000 0.000000 1274921.520526 1274889.331150 1539.802495
0.795000 0.000000 0.000000 1449966.267569 1450001.171143 1590.153266
0.905000 0.000000 0.000000 1256434.412064 1256402.207454 1534.189725
0.915000 0.000000 0.000000 1237632.130840 1237619.023892 1528.423271
0.775000 0.000000 0.000000 1483599.096968 1483616.864693 1599.290427
0.785000 0.000000 0.000000 1466806.685267 1466841.533064 1594.750316
0.005000 0.000000 0.000000 2789564.564565 2789565.784304 1872.755362
0.015000 0.000000 0.000000 2763416.884812 2763418.166488 1868.351346
0.025000 0.000000 0.000000 2739881.727332 2739883.065870 1864.360548
0.035000 0.000000 0.000000 2717772.797377 2717774.190253 1860.588103
0.045000 0.000000 0.000000 2696613.424972 2696614.870596 1856.956065
0.055000 0.000000 0.000000 2676156.481819 2676157.978925 1853.424220
0.065000 0.000000 0.000000 2656250.385741 2656251.932874 1849.967987
0.075000 0.000000 0.000000 2636792.464011 2636776.587366 1846.567683
0.085000 0.000000 0.000000 2617709.101611 2617673.878684 1843.214092
0.095000 0.000000 0.000000 2598945.929912 2598910.784047 1839.902206
0.105000 0.000000 0.000000 2580419.722347 2580403.432372 1836.617846
0.905000 0.000000 0.000000 1256363.686150 1256402.207454 1534.189725
0.915000 0.000000 0.000000 1237599.499788 1237619.023892 1528.423271
0.925000 0.000000 0.000000 1218516.371771 1218528.234009 1522.494724
0.935000 0.000000 0.000000 1199058.853339 1199071.122165 1516.380298
0.945000 0.000000 0.000000 1179153.039467 1179165.686590 1510.047489
0.955000 0.000000 0.000000 1158696.334843 1158709.345651 1503.455315
0.965000 0.000000 0.000000 1137537.179311 1137550.541716 1496.544284
0.975000 0.000000 0.000000 1115428.452164 1115442.151173 1489.219315
0.985000 0.000000 0.000000 1091893.487139 1091907.498164 1481.301148
0.995000 0.000000 0.000000 1065745.992937 1065760.264416 1472.352433
0.885000 0.000000 0.000000 1293135.079488 1293154.917833 1545.288370
0.895000 0.000000 0.000000 1274850.891219 1274889.331150 1539.802495
0.505000 0.000000 0.000000 1919676.044611 1919691.933348 1705.708376
0.515000 0.000000 0.000000 1903783.910977 1903788.610347 1702.164694
0.525000 0.000000 0.000000 1887889.285532 1887894.098506 1698.600722
0.535000 0.000000 0.000000 1871990.368155 1871995.290056 1695.013202
0.545000 0.000000 0.000000 1856085.385945 1856090.413832 1691.401374
0.555000 0.000000 0.000000 1840172.551907 1840177.682395 1687.764458
0.565000 0.000000 0.000000 1824250.038974 1824255.265659 1684.101642
0.575000 0.000000 0.000000 1808315.925261 1808303.659022 1680.407989
0.585000 0.000000 0.000000 1792368.591282 1792340.136942 1676.687030
0.495000 0.000000 0.000000 1935567.270684 1935599.283938 1709.230998
0.605000 0.000000 0.000000 1760394.862790 1760382.725858 1669.162702
0.595000 0.000000 0.000000 1776407.108459 1776378.685367 1672.941619
0.475000 0.000000 0.000000 1967385.334182 1967401.128692 1716.208807
0.485000 0.000000 0.000000 1951458.305278 1951490.288509 1712.728387
0.095000 0.000000 0.000000 2598874.213204 2598910.784047 1839.902206
0.105000 0.000000 0.000000 2580385.674130 2580403.432372 1836.617846
0.115000 0.000000 0.000000 2562138.448355 2562140.258942 1833.359454
0.125000 0.000000 0.000000 2544104.723499 2544106.590244 1830.124871
0.135000 0.000000 0.000000 2526261.176243 2526263.098167 1826.907429
0.145000 0.000000 0.000000 2508588.227069 2508590.203612 1823.703904
0.155000 0.000000 0.000000 2491069.200065 2491071.230600 1820.511530
0.165000 0.000000 0.000000 2473689.716892 2473691.800157 1817.327902
0.175000 0.000000 0.000000 2456437.210950 2456422.998720 1814.147881
0.185000 0.000000 0.000000 2439300.962298 2439269.359039 1810.972424
0.075000 0.000000 0.000000 2636759.367259 2636776.587366 1846.567683
0.085000 0.000000 0.000000 2617637.272277 2617673.878684 1843.214092
0.195000 0.000000 0.000000 2422272.354393 2422240.792442 1807.803512
0.205000 0.000000 0.000000 2405306.072066 2405291.762380 1804.632765
0.305000 0.000000 0.000000 2239892.980133 2239908.740000 1772.778509
0.315000 0.000000 0.000000 2223656.004039 2223659.025846 1769.554511
0.325000 0.000000 0.000000 2207458.113688 2207461.211553 1766.323177
0.335000 0.000000 0.000000 2191296.310650 2191299.482543 1763.081268
0.345000 0.000000 0.000000 2175167.804618 2175171.049351 1759.828111
0.355000 0.000000 0.000000 2159069.957389 2159073.273592 1756.563049
0.365000 0.000000 0.000000 2143000.247373 2143003.632283 1753.285431
0.375000 0.000000 0.000000 2126956.209906 2126943.341818 1749.991251
0.385000 0.000000 0.000000 2110935.797330 2110906.666651 1746.683248
0.295000 0.000000 0.000000 2256171.982515 2256204.274516 1775.994030
0.275000 0.000000 0.000000 2288901.938670 2288917.549778 1782.396967
0.285000 0.000000 0.000000 2272495.289617 2272527.566189 1779.197613
0.405000 0.000000 0.000000 2078925.522321 2078912.703969 1740.026893
0.395000 0.000000 0.000000 2094937.817492 2094908.717990 1743.364400
0.605000 0.000000 0.000000 1760366.461758 1760382.725858 1669.162702
0.615000 0.000000 0.000000 1744367.427056 1744373.247533 1665.354717
0.625000 0.000000 0.000000 1728347.135028 1728353.099478 1661.517866
0.635000 0.000000 0.000000 1712303.338760 1712309.440032 1657.648557
0.645000 0.000000 0.000000 1696233.739929 1696239.973404 1653.745672
0.655000 0.000000 0.000000 1680135.943471 1680142.303804 1649.808033
0.665000 0.000000 0.000000 1664007.424941 1664013.902142 1645.834398
0.675000 0.000000 0.000000 1647845.465662 1647833.284187 1641.818764
0.685000 0.000000 0.000000 1631647.569885 1631618.944129 1637.764986
0.595000 0.000000 0.000000 1776346.213908 1776378.685367 1672.941619
0.575000 0.000000 0.000000 1808287.470963 1808303.659022 1680.407989
0.585000 0.000000 0.000000 1792307.702357 1792340.136942 1676.687030
0.705000 0.000000 0.000000 1599099.798053 1599087.795561 1629.539808
0.695000 0.000000 0.000000 1615411.813840 1615383.218264 1633.675473
0.705000 0.000000 0.000000 1599070.943740 1599087.795561 1629.539808
0.715000 0.000000 0.000000 1582746.598212 1582753.828253 1625.362518
0.725000 0.000000 0.000000 1566373.401693 1566380.820823 1621.142668
0.735000 0.000000 0.000000 1549947.497161 1549955.094249 1616.875857
0.745000 0.000000 0.000000 1533464.773414 1533472.541109 1612.560057
0.755000 0.000000 0.000000 1516920.793414 1516928.723102 1608.193087
0.765000 0.000000 0.000000 1500310.728087 1500318.803672 1603.772585
0.775000 0.000000 0.000000 1483629.247896 1483616.864693 1599.290427
0.785000 0.000000 0.000000 1466870.936437 1466841.533064 1594.750316
0.695000 0.000000 0.000000 1615349.863451 1615383.218264 1633.675473
0.805000 0.000000 0.000000 1433064.444090 1433052.321857 1585.485991
0.795000 0.000000 0.000000 1450030.550506 1450001.171143 1590.153266
0.675000 0.000000 0.000000 1647816.479720 1647833.284187 1641.818764
0.685000 0.000000 0.000000 1631585.634102 1631618.944129 1637.764986
0.405000 0.000000 0.000000 2078896.996788 2078912.703969 1740.026893
0.415000 0.000000 0.000000 2062934.362621 2062938.146801 1736.674586
0.425000 0.000000 0.000000 2046987.070942 2046990.947102 1733.308544
0.435000 0.000000 0.000000 2031053.137431 2031057.102487 1729.925620
0.445000 0.000000 0.000000 2015130.668584 2015134.720660 1726.525189
0.455000 0.000000 0.000000 1999217.817817 1999221.954753 1723.106618
0.465000 0.000000 0.000000 1983312.758982 1983316.976591 1719.669266
0.475000 0.000000 0.000000 1967413.633277 1967401.128692 1716.208807
0.485000 0.000000 0.000000 1951518.927755 1951490.288509 1712.728387
0.395000 0.000000 0.000000 2094876.789708 2094908.717990 1743.364400
0.505000 0.000000 0.000000 1919704.348337 1919691.933348 1705.708376
0.495000 0.000000 0.000000 1935627.892162 1935599.283938 1709.230998
0.375000 0.000000 0.000000 2126927.748841 2126943.341818 1749.991251
0.385000 0.000000 0.000000 2110874.761670 2110906.666651 1746.683248
0.195000 0.000000 0.000000 2422207.380341 2422240.792442 1807.803512
0.205000 0.000000 0.000000 2405275.555550 2405291.762380 1804.632765
0.215000 0.000000 0.000000 2388433.847724 2388436.222226 1801.462846
0.225000 0.000000 0.000000 2371675.500944 2371677.939703 1798.294540
0.235000 0.000000 0.000000 2354994.155633 2354996.657311 1795.124073
0.245000 0.000000 0.000000 2338384.069550 2338386.633395 1791.950370
0.255000 0.000000 0.000000 2321840.001395 2321842.626536 1788.772429
0.265000 0.000000 0.000000 2305357.127182 2305359.811790 1785.589308
0.275000 0.000000 0.000000 2288930.941205 2288917.549778 1782.396967
0.285000 0.000000 0.000000 2272557.577990 2272527.566189 1779.197613
0.175000 0.000000 0.000000 2456407.022011 2456422.998720 1814.147881
0.185000 0.000000 0.000000 2439235.949747 2439269.359039 1810.972424
0.305000 0.000000 0.000000 2239922.133569 2239908.740000 1772.778509
0.295000 0.000000 0.000000 2256234.253005 2256204.274516 1775.994030
