x           y           z           G           L           T
-0.009800 0.000000 0.577350 438718.021396 704755.380388 1327.720000
-0.009400 0.000000 0.577350 439379.396869 826020.486823 1381.480000
-0.009000 0.000000 0.577350 440084.808746 956306.643111 1433.000000
-0.008600 0.000000 0.577350 440827.588659 1094796.515330 1482.280000
-0.008200 0.000000 0.577350 441600.316704 1240526.036082 1529.320000
-0.007800 0.000000 0.577350 442394.897315 1392399.179284 1574.120000
-0.007400 0.000000 0.577350 443202.644635 1549204.228806 1616.680000
-0.007000 0.000000 0.577350 444014.375861 1709631.238781 1657.000000
-0.006600 0.000000 0.577350 444820.511025 1872290.397849 1695.080000
-0.006200 0.000000 0.577350 445611.177680 2035731.023936 1730.920000
-0.005800 0.000000 0.577350 446376.319022 2198460.930596 1764.520000
-0.005400 0.000000 0.577350 447105.803969 2358965.920321 1795.880000
-0.005000 0.000000 0.577350 447789.537800 2515729.174587 1825.000000
-0.004600 0.000000 0.577350 448417.571987 2667250.324843 1851.880000
-0.004200 0.000000 0.577350 448980.211916 2812064.002980 1876.520000
-0.003800 0.000000 0.577350 449468.121258 2948757.684261 1898.920000
-0.003400 0.000000 0.577350 449872.421833 3075988.650031 1919.080000
-0.003000 0.000000 0.577350 450184.787868 3192499.911953 1937.000000
-0.002600 0.000000 0.577350 450397.533646 3297134.953880 1952.680000
-0.002200 0.000000 0.577350 450503.693638 3388851.161877 1966.120000
-0.001800 0.000000 0.577350 450497.094269 3466731.827274 1977.320000
-0.001400 0.000000 0.577350 450372.416607 3529996.622056 1986.280000
-0.001000 0.000000 0.577350 450125.249325 3578010.460233 1993.000000
-0.000600 0.000000 0.577350 449752.131408 3610290.673274 1997.480000
-0.000200 0.000000 0.577350 449250.584174 3626512.442037 1999.720000
0.000200 0.000000 0.577350 448613.707632 3624771.785722 1999.480000
0.000600 0.000000 0.577350 447808.798337 3594699.853033 1995.320000
0.001000 0.000000 0.577350 446832.801011 3535117.712426 1987.000000
0.001400 0.000000 0.577350 445690.857873 3447137.122562 1974.520000
0.001800 0.000000 0.577350 444390.769049 3332396.665394 1957.880000
0.002200 0.000000 0.577350 442942.823334 3193027.358139 1937.080000
0.002600 0.000000 0.577350 441359.577559 3031607.601305 1912.120000
0.003000 0.000000 0.577350 439655.588354 2851108.147367 1883.000000
0.003400 0.000000 0.577350 437847.101046 2654827.945879 1849.720000
0.003800 0.000000 0.577350 435951.701256 2446321.891928 1812.280000
0.004200 0.000000 0.577350 433987.935664 2229321.676010 1770.680000
0.004600 0.000000 0.577350 431974.909149 2007651.104575 1724.920000
0.005000 0.000000 0.577350 429931.866306 1785137.431587 1675.000000
0.005400 0.000000 0.577350 427877.765997 1565520.412683 1620.920000
0.005800 0.000000 0.577350 425830.858256 1352360.964576 1562.680000
0.006200 0.000000 0.577350 423808.273391 1148951.483578 1500.280000
0.006600 0.000000 0.577350 421825.633649 958230.048233 1433.720000
0.007000 0.000000 0.577350 419896.698173 782700.902199 1363.000000
0.007400 0.000000 0.577350 418033.052305 624363.784703 1288.120000
0.007800 0.000000 0.577350 416243.852490 484654.847018 1209.080000
0.008200 0.000000 0.577350 414535.638148 364402.064569 1125.880000
0.008600 0.000000 0.577350 412912.221843 263798.225456 1038.520000
0.009000 0.000000 0.577350 411374.668961 182394.747285 947.000000
0.009400 0.000000 0.577350 409921.377823 119119.745405 851.320000
0.009800 0.000000 0.577350 408548.270752 72323.946770 751.480000
