x           y           z           G           L           T
0.050000 0.000000 0.000100 2685037.857619 2697470.238433 1857.103304
0.150000 0.000000 0.000100 2497921.369171 2488642.156991 1820.067567
0.250000 0.000000 0.000100 2329067.862466 2329447.410603 1790.235335
0.350000 0.000000 0.000100 2166552.636035 2166352.299458 1758.041685
0.450000 0.000000 0.000100 2007004.901800 2006858.462583 1724.749721
0.550000 0.000000 0.000100 1848342.276716 1848242.224627 1689.610576
0.650000 0.000000 0.000100 1688792.731960 1688719.600966 1651.909624
0.750000 0.000000 0.000100 1526242.784976 1526186.542048 1610.641193
0.850000 0.000000 0.000100 1357103.360695 1357058.696873 1564.035317
0.950000 0.000000 0.000100 1171719.931700 1171683.423924 1507.646309
